Dallas User Experience Group,Dallas-User-Experience-Group,http://www.meetup.com/Dallas-User-Experience-Group/,|*|
Dallas Makerspace,dallasmakerspace,http://www.meetup.com/dallasmakerspace/,|*|
DFW Scrum,DFWScrum,http://www.meetup.com/DFWScrum/,|*|
Tech in Motion: Dallas,TechinMotionDallas,http://www.meetup.com/TechinMotionDallas/,|*|
IoT Texas,IoTTexas,http://www.meetup.com/IoTTexas/,|*|
DFW BigData,DFW-BigData,http://www.meetup.com/DFW-BigData/,|*|
Dallas R Users Group,Dallas-R-Users-Group,http://www.meetup.com/Dallas-R-Users-Group/,|*|
DFW Azure User Group,DFW-Azure-User-Group,http://www.meetup.com/DFW-Azure-User-Group/,|*|
DFW Analytics : Big Data and Beyond,DFW-Analytics-Big-Data-and-Beyond,http://www.meetup.com/DFW-Analytics-Big-Data-and-Beyond/,|*|
DFW Data Visualization & Infographics,DFWDataViz,http://www.meetup.com/DFWDataViz/,|*|
TechMill Denton,TechmillDenton,http://www.meetup.com/TechmillDenton/,|*|
DFW Front end development,DFW-Front-end-development,http://www.meetup.com/DFW-Front-end-development/,|*|
DFW Data Science,DFW-Data-Science,http://www.meetup.com/DFW-Data-Science/,|*|
AWS DFW | Official Events,AWS-Dallas,http://www.meetup.com/AWS-Dallas/,|*|
Dallas Big Data Science!,Dallas-Big-Data-Science,http://www.meetup.com/Dallas-Big-Data-Science/,|*|
Dallas.js,DallasJS,http://www.meetup.com/DallasJS/,|*|
Dallas App Developers,Dallas-App-Developers,http://www.meetup.com/Dallas-App-Developers/,|*|
The Iron Yard - Dallas,The-Iron-Yard-Dallas,http://www.meetup.com/The-Iron-Yard-Dallas/,|*|
Women Who Code Dallas/Ft. Worth,Women-Who-Code-Dallas,http://www.meetup.com/Women-Who-Code-Dallas/,|*|
Club AJAX,Club-AJAX,http://www.meetup.com/Club-AJAX/,|*|
AngularJS DFW Area,AngularJS-DFW-Area,http://www.meetup.com/AngularJS-DFW-Area/,|*|
Laravel Dallas/Fort Worth,laravel-dallas-fort-worth,http://www.meetup.com/laravel-dallas-fort-worth/,|*|
Dallas Startup Founder 101,Dallas-Startup-Founder-101,http://www.meetup.com/Dallas-Startup-Founder-101/,|*|
OpenStack DFW,OpenStack-DFW,http://www.meetup.com/OpenStack-DFW/,|*|
Dallas Agile Leadership Network,Dallas-ALN,http://www.meetup.com/Dallas-ALN/,|*|
DFW Jenkins Area Meetup,DFW-Jenkins-Area-Meetup,http://www.meetup.com/DFW-Jenkins-Area-Meetup/,|*|
DFW Agile Community of Practice (CoP),Agile-CoP,http://www.meetup.com/Agile-CoP/,|*|
Linux Containers & Virtualization Meetup,Linux-Containers-Virtualization,http://www.meetup.com/Linux-Containers-Virtualization/,|*|
North Dallas Coworking,NorthDallasCoworking,http://www.meetup.com/NorthDallasCoworking/,|*|
Agile-DevOps: DFW Chapter,Agile-Inspiration-DFW-Chapter,http://www.meetup.com/Agile-Inspiration-DFW-Chapter/,|*|
DFW Pythoneers,dfwpython,http://www.meetup.com/dfwpython/,|*|
Dallas Interactive Marketing & Internet SEO/SEM Meetup,dallas-seo-interactive-marketing,http://www.meetup.com/dallas-seo-interactive-marketing/,|*|
TheLab.ms,TheLab-ms,http://www.meetup.com/TheLab-ms/,|*|
Dallas mongoDB Meetup,Dallas-mongoDB-Meetup,http://www.meetup.com/Dallas-mongoDB-Meetup/,|*|
Diversity in Technology,Diversity-in-Technology,http://www.meetup.com/Diversity-in-Technology/,|*|
Dallas .NET Users' Group,DallasNETUG,http://www.meetup.com/DallasNETUG/,|*|
Java Developers of Dallas (JDD),JavaDevDallas,http://www.meetup.com/JavaDevDallas/,|*|
GeekMeet Dallas,geekmeet,http://www.meetup.com/geekmeet/,|*|
Dallas Google Developer Group,Dallas-Android-Development-Group,http://www.meetup.com/Dallas-Android-Development-Group/,|*|
Big Data Developers in Dallas,Big-Data-Developers-in-Dallas,http://www.meetup.com/Big-Data-Developers-in-Dallas/,|*|
DevOps Live!,DevOpsLive,http://www.meetup.com/DevOpsLive/,|*|
Dallas Hackers Association,Dallas-Hackers-Association,http://www.meetup.com/Dallas-Hackers-Association/,|*|
Dallas Salesforce Developer Group,Dallas-Salesforce-Developer-User-Group,http://www.meetup.com/Dallas-Salesforce-Developer-User-Group/,|*|
Dallas Business & Tech Industry Learners,Dallas-Business-Tech-Meetup,http://www.meetup.com/Dallas-Business-Tech-Meetup/,|*|
ReactJS Dallas,ReactJS-Dallas,http://www.meetup.com/ReactJS-Dallas/,|*|
Elastic Dallas User Group,Dallas-Elastic-Fantastics,http://www.meetup.com/Dallas-Elastic-Fantastics/,|*|
Dallas AngularJS SuperHeros,DallasAngularJS,http://www.meetup.com/DallasAngularJS/,|*|
DFW WordPress Group,dfwwordpress,http://www.meetup.com/dfwwordpress/,|*|
OWASP DALLAS,Dallas-The-Open-Web-Application-Security-Project-Meetup,http://www.meetup.com/Dallas-The-Open-Web-Application-Security-Project-Meetup/,|*|
Plano Software Entrepreneurs Meetup,SoftwareEntrepreneursMeetup,http://www.meetup.com/SoftwareEntrepreneursMeetup/,|*|
Dallas Cloud Foundry Meetup,Dallas-Cloud-Foundry-Meetup,http://www.meetup.com/Dallas-Cloud-Foundry-Meetup/,|*|
DFW Mobile .NET,DFW-Mobile-NET,http://www.meetup.com/DFW-Mobile-NET/,|*|
LAUNCH DFW Tech Startup Happy Hour,Dallas-Startup-Happy-Hour,http://www.meetup.com/Dallas-Startup-Happy-Hour/,|*|
Analytics.Club Dallas,ac-dfw,http://www.meetup.com/ac-dfw/,|*|
BigDOCC - Talking Tech Startups and the Digital Lifestyle!,BigDOCC,http://www.meetup.com/BigDOCC/,|*|
Tech Talent South - Dallas,Tech-Talent-South-Dallas,http://www.meetup.com/Tech-Talent-South-Dallas/,|*|
Geeknight Dallas,Geeknight-Dallas,http://www.meetup.com/Geeknight-Dallas/,|*|
North Dallas Cloud Computing Group,NorthDallasCloud,http://www.meetup.com/NorthDallasCloud/,|*|
Mobile Marketing & Strategy,Mobile-Marketing-Strategy,http://www.meetup.com/Mobile-Marketing-Strategy/,|*|
Dallas Society of Play,Dallas-Society-of-Play,http://www.meetup.com/Dallas-Society-of-Play/,|*|
Texas Agile,Texas-Agile,http://www.meetup.com/Texas-Agile/,|*|
NTCSG,NTXCSG,http://www.meetup.com/NTXCSG/,|*|
Apache Apex (native Hadoop) Dallas Chapter,Apache-Apex-Dallas-Chapter,http://www.meetup.com/Apache-Apex-Dallas-Chapter/,|*|
Irving iOS Jumpstart,Irving-iOS-Jumpstart,http://www.meetup.com/Irving-iOS-Jumpstart/,|*|
Dallas/Fort Worth PostgreSQL Users Group,DallasFortWorthPUG,http://www.meetup.com/DallasFortWorthPUG/,|*|
Divergence Data Science Meetup,Divergence-Data-Science-Meetup,http://www.meetup.com/Divergence-Data-Science-Meetup/,|*|
Cryptoparty DFW,Cryptoparty-DFW,http://www.meetup.com/Cryptoparty-DFW/,|*|
Professional Business Networking Group,PBNdfw,http://www.meetup.com/PBNdfw/,|*|
North Dallas Business Startups,Dallas-Business-Startup-Meetup,http://www.meetup.com/Dallas-Business-Startup-Meetup/,|*|
Health 2.0 Dallas,Health20Dallas,http://www.meetup.com/Health20Dallas/,|*|
Scaled Agile DFW,ScaledAgileDFW,http://www.meetup.com/ScaledAgileDFW/,|*|
North Texas Mobile App Apprentices,North-Texas-Mobile-App-Apprentices,http://www.meetup.com/North-Texas-Mobile-App-Apprentices/,|*|
DFW UC User Group,dfwucug,http://www.meetup.com/dfwucug/,|*|
Dallas App Developers Night Out,DevsNightOut,http://www.meetup.com/DevsNightOut/,|*|
Nodeschool Dallas,Nodeschool-Dallas,http://www.meetup.com/Nodeschool-Dallas/,|*|
Docker Dallas,Docker-Dallas,http://www.meetup.com/Docker-Dallas/,|*|
Dallas Ruby Brigade,dallasrb,http://www.meetup.com/dallasrb/,|*|
Dallas Web & Mobile Development Meetup,Dallas-Web-Mobile-Development-Meetup,http://www.meetup.com/Dallas-Web-Mobile-Development-Meetup/,|*|
DFW Cassandra Users,Dallas-Cassandra-Users,http://www.meetup.com/Dallas-Cassandra-Users/,|*|
Dallas Identity & Access Management User Group,DallasIAM,http://www.meetup.com/DallasIAM/,|*|
Online WordPress Ninjas,Online-WordPress-Ninjas,http://www.meetup.com/Online-WordPress-Ninjas/,|*|
DFW Sensor & IoT Technology Meetup,DFW-Sensor-Technology,http://www.meetup.com/DFW-Sensor-Technology/,|*|
Fort Worth  WordPress Users Group,Fort-Worth-WordPress-Group,http://www.meetup.com/Fort-Worth-WordPress-Group/,|*|
Girl Develop It Dallas/Fort Worth,Girl-Develop-It-DFW,http://www.meetup.com/Girl-Develop-It-DFW/,|*|
Splunk in the Big D Usergroup,Splunk-in-the-Big-D-Usergroup,http://www.meetup.com/Splunk-in-the-Big-D-Usergroup/,|*|
Computer Visionaries,Computer-Visionaries,http://www.meetup.com/Computer-Visionaries/,|*|
DFWSEM | Dallas/Fort Worth Search Engine Marketing Assoc.,DFWSEM,http://www.meetup.com/DFWSEM/,|*|
Dallas Scala Enthusiasts,Dallas-Scala-Enthusiasts,http://www.meetup.com/Dallas-Scala-Enthusiasts/,|*|
HTML5 User Group,HTML5-User-Group,http://www.meetup.com/HTML5-User-Group/,|*|
GE Predix Dallas (Industrial Internet),GE-Predix-Dallas-Industrial-Internet,http://www.meetup.com/GE-Predix-Dallas-Industrial-Internet/,|*|
Refresh Dallas,Refresh-Dallas,http://www.meetup.com/Refresh-Dallas/,|*|
Hackster Hardware Meetup - DFW,Hackster-DFW,http://www.meetup.com/Hackster-DFW/,|*|
Red Hat Users Group - Dallas,Dallas-Red-Hat-Users-Group,http://www.meetup.com/Dallas-Red-Hat-Users-Group/,|*|
Podcast Dallas,Podcast-Dallas,http://www.meetup.com/Podcast-Dallas/,|*|
Metroplex Mesos Group,Metroplex-Mesos-Group,http://www.meetup.com/Metroplex-Mesos-Group/,|*|
Dallas PHP,dallasphp,http://www.meetup.com/dallasphp/,|*|
DFW Hardware Startups,DFW-hardware-startups,http://www.meetup.com/DFW-hardware-startups/,|*|
Startup Arlington,startuparlington,http://www.meetup.com/startuparlington/,|*|
Women's Geek Night Dallas,Womens-Geek-Night-Dallas,http://www.meetup.com/Womens-Geek-Night-Dallas/,|*|
DFW Cloudera User Group,DFW-Cloudera-User-Group,http://www.meetup.com/DFW-Cloudera-User-Group/,|*|
Dallas Functional Programmers,Dallas-Functional-Programmers,http://www.meetup.com/Dallas-Functional-Programmers/,|*|
Copywriters & Story Tellers Meetup,Copywriters-Story-Tellers-Meetup,http://www.meetup.com/Copywriters-Story-Tellers-Meetup/,|*|
Dallas Ethereum Meetup,Dallas-Ethereum-Meetup,http://www.meetup.com/Dallas-Ethereum-Meetup/,|*|
Java Metroplex User Group (JavaMUG),javamug,http://www.meetup.com/javamug/,|*|
Plano Java and More (JAM),Plano-Java-and-More-JAM,http://www.meetup.com/Plano-Java-and-More-JAM/,|*|
DFW Wireless and Telecom Innovation Forum,DFW-Wireless-and-Telecom-innovation-Forum,http://www.meetup.com/DFW-Wireless-and-Telecom-innovation-Forum/,|*|
GoDFW - Google's Go in the Lone Star State,GolangDFW,http://www.meetup.com/GolangDFW/,|*|
Wearable Technology - DFW,weartech,http://www.meetup.com/weartech/,|*|
Midcities Arduino Pi and other MCU meetup,Midcities-Arduino-Pi-and-other-MCU-meetup,http://www.meetup.com/Midcities-Arduino-Pi-and-other-MCU-meetup/,|*|
Go / Golang Dallas,Go-Golang-Dallas,http://www.meetup.com/Go-Golang-Dallas/,|*|
